Gen	theta_1red	theta_2green	theta_3redgreen	tau_3redgreen	M_red->green	lnL
16688	0.014244	0.031833	0.003528	0.002756	2.584763	-3495.010
16692	0.015404	0.032084	0.001743	0.002756	2.546292	-3494.519
16696	0.016045	0.027760	0.001405	0.002746	1.899123	-3499.414
16700	0.017604	0.023597	0.001047	0.002775	0.828880	-3494.347
16704	0.019489	0.023854	0.001475	0.002775	1.112989	-3513.506
16708	0.017301	0.023553	0.002551	0.002802	1.300399	-3488.505
16712	0.018568	0.032407	0.001903	0.002986	1.644309	-3497.085
16716	0.018342	0.027735	0.001787	0.003004	1.644309	-3499.863
16720	0.014757	0.023893	0.002126	0.003011	1.190089	-3509.706
16724	0.015764	0.028729	0.002302	0.003011	1.826269	-3495.764
16728	0.017197	0.027936	0.002174	0.003249	1.362718	-3498.291
16732	0.016436	0.018605	0.002306	0.003097	1.013808	-3509.212
16736	0.016285	0.022823	0.002761	0.003097	1.385013	-3517.136
16740	0.013208	0.022621	0.002277	0.002658	1.756472	-3505.407
16744	0.009551	0.016253	0.001792	0.001902	1.293134	-3520.484
16748	0.010199	0.019352	0.002830	0.001902	1.293134	-3521.246
16752	0.011162	0.019167	0.004340	0.001767	1.293134	-3520.046
16756	0.012378	0.018933	0.003523	0.001767	1.713995	-3505.265
16760	0.014439	0.028755	0.003409	0.002054	1.290763	-3509.814
16764	0.013967	0.032968	0.002491	0.002048	1.748141	-3511.407
16768	0.013201	0.029413	0.002384	0.002048	1.363063	-3506.617
16772	0.016982	0.037598	0.002714	0.002590	2.056001	-3503.860
16776	0.014672	0.022025	0.003321	0.002256	1.241532	-3507.375
16780	0.014088	0.022613	0.003836	0.002079	1.463169	-3509.673
16784	0.011529	0.028009	0.003346	0.001834	1.463169	-3489.976
16788	0.012427	0.028938	0.002423	0.002161	1.125524	-3505.982
16792	0.016575	0.038561	0.002697	0.002576	1.027048	-3488.264
16796	0.014275	0.042642	0.002800	0.002623	1.818193	-3507.691
16800	0.014466	0.038065	0.004628	0.002623	1.570862	-3501.811
16804	0.016408	0.036862	0.002714	0.002710	1.367877	-3513.496
16808	0.015936	0.035111	0.002434	0.002719	1.446754	-3515.733
16812	0.018195	0.039509	0.002681	0.003104	1.461904	-3534.306
16816	0.018963	0.038648	0.002329	0.002754	2.272229	-3526.737
16820	0.021074	0.041101	0.002672	0.003103	1.553576	-3504.181
16824	0.021203	0.033953	0.003315	0.003389	1.151774	-3510.356
16828	0.013702	0.025021	0.002431	0.002368	0.874425	-3509.208
16832	0.015187	0.028625	0.003499	0.002645	1.069407	-3512.224
16836	0.021371	0.033052	0.002248	0.003303	0.940485	-3497.396
16840	0.014930	0.024884	0.001645	0.002332	1.318549	-3500.813
16844	0.014401	0.020741	0.001951	0.002332	1.542624	-3520.277
16848	0.014421	0.018041	0.002505	0.002386	0.973118	-3499.002
16852	0.013482	0.016168	0.002242	0.002035	0.879229	-3526.612
16856	0.014213	0.020541	0.001837	0.002234	0.928008	-3513.737
16860	0.015081	0.021629	0.001428	0.002234	1.114371	-3500.886
16864	0.015944	0.022499	0.001779	0.002347	1.050303	-3508.495
16868	0.014312	0.022648	0.001961	0.002259	1.050303	-3510.374
16872	0.014517	0.025375	0.001736	0.002259	1.050303	-3516.630
16876	0.015902	0.020972	0.001764	0.002259	1.034535	-3517.749
16880	0.018753	0.026074	0.002681	0.002551	1.259235	-3502.776
16884	0.015560	0.033808	0.003885	0.002551	1.118680	-3506.025
16888	0.025736	0.054450	0.005613	0.003759	1.481412	-3501.928
16892	0.023566	0.054034	0.003888	0.003748	1.625857	-3522.420
16896	0.026804	0.049388	0.004058	0.004307	1.415327	-3515.992
16900	0.027097	0.045134	0.004079	0.004307	1.495466	-3510.600
16904	0.027382	0.039875	0.003886	0.004293	1.147419	-3512.684
16908	0.033125	0.030385	0.004323	0.004231	1.009416	-3523.969
16912	0.026958	0.028471	0.004789	0.004231	1.009416	-3512.247
16916	0.026564	0.033936	0.004471	0.004470	1.242529	-3500.879
16920	0.028118	0.033819	0.005528	0.004325	1.242529	-3521.352
16924	0.030415	0.043264	0.004950	0.004781	1.242529	-3510.423
16928	0.028704	0.038594	0.004306	0.004781	0.922807	-3526.128
16932	0.032295	0.040261	0.004898	0.005027	1.163281	-3519.807
16936	0.026530	0.047332	0.003006	0.004492	1.674903	-3518.851
16940	0.026951	0.046717	0.003607	0.003889	1.399012	-3499.651
16944	0.027577	0.038971	0.002797	0.004358	1.034707	-3508.010
16948	0.030656	0.039816	0.006403	0.004358	1.118139	-3515.064
16952	0.031224	0.068216	0.008971	0.004937	1.492660	-3508.026
16956	0.028647	0.056661	0.005018	0.003932	1.818160	-3507.534
16960	0.018195	0.034827	0.004314	0.002827	1.704602	-3484.652
16964	0.015813	0.029030	0.003892	0.002453	1.821710	-3495.892
16968	0.015671	0.026952	0.003617	0.002453	1.861833	-3500.758
16972	0.014519	0.017528	0.004263	0.002026	1.442439	-3498.316
16976	0.014406	0.025025	0.004232	0.002388	1.192959	-3490.660
16980	0.014429	0.027770	0.003210	0.002352	1.497610	-3514.922
16984	0.016288	0.031635	0.004822	0.002352	1.497610	-3496.453
16988	0.015753	0.038277	0.004366	0.002352	1.448365	-3520.972
16992	0.015768	0.030855	0.006556	0.002352	1.448365	-3521.663
16996	0.014071	0.030667	0.007123	0.002000	1.911025	-3528.209
17000	0.012143	0.024885	0.005716	0.001783	1.399841	-3511.329
17004	0.013113	0.033292	0.004857	0.001783	1.408460	-3516.279
17008	0.016562	0.030262	0.004604	0.002132	2.068326	-3510.281
17012	0.014727	0.025122	0.004542	0.002132	2.302081	-3501.414
17016	0.015331	0.020065	0.004155	0.002132	1.736486	-3501.048
17020	0.014056	0.028554	0.003835	0.002242	1.920342	-3514.454
17024	0.017390	0.029348	0.003858	0.002635	1.299913	-3518.177
17028	0.014687	0.023529	0.003674	0.002366	1.659352	-3523.440
17032	0.014234	0.027937	0.003394	0.002240	1.659352	-3522.222
17036	0.013671	0.029752	0.001949	0.002240	1.659352	-3492.374
17040	0.016317	0.028190	0.002420	0.002525	1.205889	-3494.073
17044	0.018393	0.033041	0.002900	0.002919	1.091715	-3512.799
17048	0.016459	0.026842	0.004056	0.002919	1.371038	-3518.148
17052	0.015522	0.021435	0.002994	0.002984	1.371038	-3490.666
17056	0.012419	0.017098	0.003011	0.002393	1.314436	-3525.962
17060	0.011266	0.018663	0.004035	0.002393	1.011284	-3546.065
17064	0.012301	0.020757	0.004164	0.002492	1.514309	-3521.402
17068	0.012382	0.023554	0.002369	0.002457	1.780172	-3512.960
17072	0.014598	0.029997	0.001736	0.002897	1.780172	-3520.607
17076	0.014340	0.025823	0.002815	0.002732	2.237535	-3516.021
17080	0.018895	0.031041	0.004450	0.003375	1.003311	-3514.750
17084	0.017544	0.025089	0.003623	0.002975	1.206647	-3514.739
17088	0.016562	0.023777	0.002892	0.002626	1.206647	-3503.716
17092	0.019871	0.033949	0.003229	0.003040	1.651199	-3502.009
17096	0.017298	0.034389	0.002925	0.003040	2.388284	-3501.687
17100	0.011554	0.021000	0.003023	0.002318	1.685591	-3510.359
17104	0.012398	0.035712	0.003330	0.002748	1.458017	-3510.181
17108	0.015037	0.030854	0.005209	0.003176	1.458017	-3506.007
17112	0.015083	0.034553	0.004538	0.003690	1.223254	-3505.294
17116	0.014571	0.032154	0.003991	0.003610	1.482352	-3483.466
17120	0.012497	0.024529	0.003701	0.002924	1.638505	-3508.890
17124	0.009978	0.024714	0.003174	0.002413	2.012142	-3493.666
17128	0.011427	0.030295	0.004185	0.002888	1.857908	-3505.101
17132	0.010670	0.021820	0.003800	0.002431	1.334649	-3516.220
17136	0.012681	0.020602	0.004526	0.002431	1.360352	-3521.885
17140	0.012394	0.029036	0.003777	0.002196	2.313254	-3508.373
17144	0.011021	0.025751	0.005057	0.002144	1.359427	-3528.723
17148	0.010250	0.028899	0.003247	0.002114	1.296764	-3522.569
17152	0.010175	0.023010	0.002632	0.002114	1.117883	-3533.144
17156	0.010912	0.027633	0.002088	0.002319	1.199463	-3514.908
17160	0.009563	0.020368	0.001096	0.001970	1.559826	-3521.131
17164	0.010453	0.017493	0.003686	0.002284	1.084476	-3491.130
17168	0.011627	0.022366	0.002665	0.002284	1.284876	-3486.619
17172	0.010034	0.021531	0.003860	0.002127	1.917968	-3502.982
17176	0.010987	0.022746	0.004906	0.002127	1.751135	-3501.116
17180	0.012296	0.021502	0.004418	0.002578	2.061587	-3506.885
17184	0.013326	0.036011	0.004504	0.003187	2.099544	-3503.182
17188	0.012203	0.022759	0.001828	0.002694	1.569743	-3511.300
17192	0.010755	0.021044	0.002674	0.002360	1.952101	-3498.717
17196	0.012682	0.019766	0.002193	0.002606	1.495355	-3518.332
17200	0.012726	0.017744	0.001769	0.002606	1.517314	-3501.650
17204	0.013106	0.018502	0.002696	0.002972	1.133642	-3518.728
17208	0.011240	0.018465	0.002735	0.002617	1.308916	-3521.178
17212	0.010013	0.014869	0.001718	0.002653	1.308916	-3521.771
17216	0.009701	0.014067	0.002310	0.002471	1.309553	-3512.777
17220	0.009780	0.016776	0.001596	0.002471	1.154877	-3520.454
17224	0.010430	0.020432	0.002035	0.002729	0.921166	-3526.613
17228	0.012672	0.021330	0.002984	0.003168	1.263608	-3523.933
17232	0.012258	0.023434	0.003100	0.002916	1.263608	-3521.301
17236	0.014228	0.027807	0.003774	0.002933	1.063572	-3526.147
17240	0.015915	0.025713	0.002642	0.003274	1.099153	-3520.548
17244	0.013421	0.019395	0.004631	0.003274	2.080435	-3519.380
17248	0.010930	0.018259	0.003833	0.002725	1.298470	-3507.034
17252	0.012139	0.023967	0.001955	0.003186	1.272647	-3496.297
17256	0.010823	0.022849	0.002033	0.002666	1.693514	-3499.458
17260	0.011395	0.029063	0.002624	0.003287	1.280468	-3510.498
17264	0.010987	0.021668	0.002352	0.002887	1.149074	-3507.758
17268	0.013229	0.027462	0.004028	0.003403	1.243317	-3496.998
17272	0.013502	0.037644	0.002355	0.003057	2.036965	-3504.703
17276	0.011311	0.024450	0.002615	0.002637	1.703143	-3525.286
17280	0.012425	0.031481	0.002521	0.002637	1.222856	-3511.446
17284	0.014231	0.034357	0.002281	0.003186	1.062130	-3502.145
17288	0.010675	0.026899	0.001860	0.002252	1.551293	-3521.181
17292	0.014170	0.027516	0.002445	0.002810	1.303044	-3505.967
17296	0.011240	0.030675	0.001533	0.002810	1.799559	-3481.368
17300	0.014528	0.028618	0.000929	0.002810	1.624365	-3509.891
17304	0.015326	0.024720	0.001179	0.002909	1.206277	-3498.144
17308	0.019506	0.024656	0.001216	0.003500	0.844792	-3519.715
17312	0.022028	0.024367	0.001465	0.003713	0.871166	-3524.070
17316	0.022324	0.030014	0.001289	0.003936	1.941703	-3519.026
17320	0.013716	0.024781	0.000878	0.002801	1.806801	-3515.474
17324	0.012823	0.023778	0.000938	0.002684	1.050706	-3512.877
17328	0.012420	0.023930	0.000583	0.003042	1.407678	-3517.081
17332	0.010473	0.021957	0.001101	0.002533	1.218975	-3509.511
17336	0.013097	0.033099	0.001605	0.002902	1.330665	-3505.066
17340	0.012825	0.018241	0.001973	0.002720	0.972049	-3510.138
17344	0.013300	0.020033	0.004133	0.002951	1.333293	-3504.983
17348	0.011452	0.016211	0.001590	0.002516	1.721460	-3512.047
17352	0.015249	0.027148	0.002529	0.003737	1.693271	-3511.670
17356	0.013782	0.027690	0.001806	0.003466	1.658245	-3506.193
17360	0.014498	0.034038	0.001911	0.003466	2.174977	-3495.429
17364	0.013971	0.025506	0.002193	0.002983	1.779680	-3499.339
